 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ
  0 |   12.29775 |   -0.10489     -0.10489     -0.10489 |    0.33366      0.33366      0.33366 |           1.00098
  1 |   12.29775 |   -0.09264     -0.09312     -0.09187 |    0.24445      0.25330      0.40702 |           0.90477
