G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.8038669964      0.5000000000      0.0000000000      0.0000000000
R                             242         1.9407066050      0.5000000000      0.5000000000      0.5000000000
G                             415         3.3330450853      0.0000000000      0.0000000000      0.0000000000
R                             588         4.7253835656      0.5000000000      0.5000000000      0.5000000000
X                             729         5.8622231742      0.5000000000      0.0000000000      0.0000000000
